Order,Flux,Annual (cm),Oct (cm),Nov (cm),Dec (cm),Jan (cm),Feb (cm),Mar (cm),Apr (cm),May (cm),Jun (cm),Jul (cm),Aug (cm),Sep (cm)
1,Basin-wide avg Precip,172.23161216076548,10.360585716594667,28.269399435473332,34.24805364186907,23.601203171479334,16.099007518142336,21.779312530214003,13.345481105263001,8.5574040764736683,5.1998315632993339,2.0697655359449998,2.7727850912806664,5.6365001236203334
2,Basin-wide Max SWE,7.6287686666666659,2.7347367333333334,4.7198700000000002,5.7699499999999997,4.9747586666666646,4.6345793333333329,5.2942646666666668,4.1531943333333325,3.2484468333333334,2.0895359666666664,1.1472698833333335,0.99181497333333335,1.80843387
3,Basin-wide Min SWE,0.0,6.7749243560999986e-05,0.056676590747999987,0.44531887999999986,0.84934880666666679,1.3078464876666669,1.5645005999999999,1.1968380333333335,0.58525499999999986,0.15817340450000003,0.015769159321333333,0.00016667994666666667,2.6927708983333337e-05
3.5,All reservoirs delta,-0.010726834655005346,-2.2490976481944025,-1.5403758764890203,0.059334318213132418,-0.0053746363821313104,1.8462609092034443,1.8105570968783637,1.4276242172809472,0.65193927113993544,-0.022112674924650178,-0.06502558387136706,-0.23325630166598491,-1.6911999258432724
3.7,All reservoirs max - min,-0.010726834655005346,2.1623352273077501,1.5461662078937559,0.76472954874058052,0.69757377388159325,1.8704323397954783,1.7627890465123783,1.3767906168891282,0.61376084012809495,0.081336475414423903,0.068646852247039591,0.23267385664876272,1.6516233432435954
7,Basin-wide AET,30.594107185073263,2.0420959166666663,1.5721617333333333,1.5081064133333331,1.5412813166666666,1.6179459566666665,2.21424106,2.6698652300000001,3.4972683800000004,3.7425933299999996,4.1897765699999994,3.4773379966666669,2.5130175133333332
9,Irrigation,1.0919199705413885,0.019021775115105923,3.0452870423121635e-06,1.5902274632938646e-07,2.093758062432723e-08,0.0005751586439389667,0.038628921151075357,0.12073421471302155,0.27953436757911732,0.29610874818310007,0.2414275293972013,0.057547664254036596,0.036262692077502698
10,Municipal & domestic,2.3551657463498392,0.20539953009295542,0.18205435819408236,0.17826717017239707,0.17981323479234773,0.17123194033289144,0.20639068352244413,0.21919059897261434,0.24405520336984854,0.24617727680642379,0.25461449677242087,0.24452966488852476,0.21981558294549705
11,Minimum flows at Salem,14.815386337136704,1.7282697093649084,0.0,0.0,0.0,0.0,0.0,3.41292118320775,2.962748073196986,2.0163146609257265,1.481374036598493,1.493718820236814,1.670660719052745
11.5,Willamette minus min flows at Salem,126.5636859659263,3.8723595574415555,14.061877315883919,24.779509391080261,22.258259262138271,14.943994279839803,17.248802003156179,10.057750418133358,7.4243032709758232,5.4396888198041786,2.8899153915392803,1.3049836391908278,2.1055356816060966
100,Willamette at Portland,141.379072303063,5.6006292668064637,14.061877315883919,24.779509391080261,22.258259262138271,14.943994279839803,17.248802003156179,13.470671601341108,10.387051344172809,7.4560034807299047,4.3712894281377732,2.7987024594276417,3.7761964006588418
